latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,rank
-13.9,38.8,tp_rollingmax,0.95,0.2427395558832872,0.15,pei_90,2015-0011-MOZ,MOZ,Flood,2015-01-01,2015-02-09,0,40,pei_90,tp_rollingmax,2015,0.2276995305164319,0.0,10.841549295774648,51.15845070422535,23.703051643192488,14.06924882629108,0.0,4.0
-16.5,34.7,tp_rollingmax,0.95,0.2438487760276976,0.15,pei_90,2015-0011-MWI,MWI,Flood,2015-01-01,2015-01-21,1,40,pei_90,tp_rollingmax,2015,0.0,0.0,28.269767441860463,48.16279069767442,17.06860465116279,6.498837209302326,0.0,4.0
-16.5,34.9,tp_rollingmax,0.95,0.2162732394029533,0.15,pei_90,2015-0030-MWI,MWI,Storm,2015-01-02,2015-01-04,328,40,pei_90,tp_rollingmax,2015,0.0,0.3651162790697674,79.75,11.172093023255814,0.0,8.712790697674418,0.0,4.0
-16.6,31.1,tp_rollingmax,0.95,0.1955419538148299,0.15,pei_90,2015-0030-ZWE,ZWE,Storm,2015-01-02,2015-01-04,329,40,pei_90,tp_rollingmax,2015,0.0,0.0,24.92906976744186,57.91627906976744,2.2837209302325583,14.67093023255814,0.2,4.0
-27.8,-70.1,tp_rollingmax,0.95,0.0635891138571227,0.15,pei_90,2015-0106-CHL,CHL,Flood,2015-03-25,2015-04-08,2,40,pei_90,tp_rollingmax,2015,8.118025751072961,4.685622317596566,0.1072961373390558,73.51287553648069,13.527896995708154,0.0,0.0482832618025751,4.0
24.3,92.0,tp_rollingmax,0.95,0.0836935416681436,0.15,pei_30,2015-0118-IND,IND,Storm,2015-04-04,2015-04-05,332,40,pei_30,tp_rollingmax,2015,0.0,0.4591611479028697,74.51103752759381,17.931567328918323,0.0,7.098233995584989,0.0,4.0
-22.1,114.6,tp_rollingmax,0.95,0.0783908677717976,0.15,pei_90,2015-0135-AUS,AUS,Storm,2015-03-12,2015-03-15,334,40,pei_90,tp_rollingmax,2015,3.811363636363637,0.0,0.0,81.67954545454545,0.0909090909090909,14.418181818181818,0.0,4.0
31.1,107.7,tp_rollingmax,0.95,0.0452212050802484,0.15,pei_90,2015-0160-CHN,CHN,Storm,2015-04-04,2015-04-05,335,40,pei_90,tp_rollingmax,2015,0.0,0.1218487394957983,69.97163865546219,11.105042016806722,0.0,18.801470588235293,0.0,4.0
13.4,-88.8,tp_rollingmax,0.95,0.0253546812699755,0.15,pei_90,2015-0198-SLV,SLV,Storm,2015-05-02,2015-05-04,336,40,pei_90,tp_rollingmax,2015,0.0,0.0,84.2004716981132,4.900943396226415,0.0,10.898584905660377,0.0,4.0
19.1,108.7,tp_rollingmax,0.95,0.1758417297688051,0.15,pei_90,2015-0252-CHN,CHN,Storm,2015-06-22,2015-06-22,337,40,pei_90,tp_rollingmax,2015,0.0,8.262614678899082,81.99311926605505,5.004587155963303,0.036697247706422,0.1605504587155963,4.54243119266055,4.0
36.7,53.5,tp_rollingmax,0.95,0.1032251696153893,0.15,pei_30,2015-0258-IRN,IRN,Flood,2015-07-14,2015-07-21,10,40,pei_30,tp_rollingmax,2015,1.2745098039215683,3.324509803921569,75.66764705882353,16.82941176470588,0.0,2.903921568627451,0.0,4.0
54.0,15.7,tp_rollingmax,0.95,0.027394328541498,0.15,pei_30,2015-0263-POL,POL,Storm,2015-07-19,2015-07-19,338,40,pei_30,tp_rollingmax,2015,0.0,0.1726618705035971,76.44748201438848,9.902877697841726,0.0,12.835971223021582,0.6410071942446043,4.0
