,dhp_label,dlabel,longitude,latitude,tp_int,date,source,unveg,sparse,teow,biome,start_date,end_date,DisNo.
0,101342,143478,118.0,-30.4,13.346555,2023-11-12,dhp,0.0,0.03935185,12,"Mediterranean Forests, Woodlands & Scrub",2023-11-12,2023-11-12,101342_dhp
1,101342,143478,116.6,-30.8,0.3811655,2023-11-12,d,0.037037037,0.028549382,12,"Mediterranean Forests, Woodlands & Scrub",2023-11-12,2023-11-12,143478_d
2,99349,125933,27.0,6.6,27.307215,2023-10-19,dhp,0.0015432099,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-10-19,2023-10-19,99349_dhp
3,99349,125933,25.2,9.0,0.00957281,2023-10-19,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-10-19,2023-10-19,125933_d
4,99140,125933,34.0,8.8,41.139988,2023-10-16,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-10-16,2023-10-16,99140_dhp
5,99140,125933,32.2,10.7,0.11170774,2023-10-16,d,0.0015432099,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-10-16,2023-10-16,125933_d
6,96740,125933,17.7,5.5,16.281857,2023-09-16,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-09-16,2023-09-16,96740_dhp
7,96740,125933,19.6,7.3,0.71721715,2023-09-16,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-09-16,2023-09-16,125933_d
8,96312,125933,26.1,-4.6,17.36639,2023-09-09,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-09-09,2023-09-09,96312_dhp
9,96312,125933,26.9,-5.6,0.05165636,2023-09-09,d,0.049382716,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-09-09,2023-09-09,125933_d
10,96279,125933,34.0,1.7,31.32184,2023-09-10,dhp,0.25,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-09-10,2023-09-10,96279_dhp
11,96279,125933,31.2,1.5,0.46958998,2023-09-10,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-09-10,2023-09-10,125933_d
12,96274,125933,34.6,8.0,32.57807,2023-09-11,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-09-11,2023-09-11,96274_dhp
13,96274,125933,32.0,9.8,0.09656553,2023-09-11,d,0.06095679,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-09-11,2023-09-11,125933_d
14,93324,130125,76.6,49.0,15.949822,2023-08-08,dhp,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",2023-08-08,2023-08-08,93324_dhp
15,93324,130125,71.2,49.6,0.026518425,2023-08-08,d,0.0,0.19675925,8,"Temperate Grasslands, Savannas & Shrublands",2023-08-08,2023-08-08,130125_d
16,93165,125933,25.9,7.6,22.963203,2023-08-04,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-08-04,2023-08-04,93165_dhp
17,93165,125933,27.1,11.5,0.8439556,2023-08-04,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-08-04,2023-08-04,125933_d
18,92963,125933,35.7,0.7,12.901942,2023-08-01,dhp,0.0023148148,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-08-01,2023-08-01,92963_dhp
19,92963,125933,35.5,2.0,0.104725294,2023-08-01,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-08-01,2023-08-01,125933_d
20,92271,125933,29.6,11.1,21.293077,2023-07-25,dhp,0.012345679,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-07-25,2023-07-25,92271_dhp
21,92271,125933,32.0,13.5,0.06063731,2023-07-25,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-07-25,2023-07-25,125933_d
22,89757,131749,-99.0,43.6,11.928083,2023-06-23,dhp,0.090277776,0.0,8,"Temperate Grasslands, Savannas & Shrublands",2023-06-23,2023-06-23,89757_dhp
23,89757,131749,-95.8,41.2,0.51282495,2023-06-23,d,0.10416667,0.0,8,"Temperate Grasslands, Savannas & Shrublands",2023-06-23,2023-06-23,131749_d
24,89755,131749,-96.0,47.9,15.991969,2023-06-24,dhp,0.0015432099,0.0,8,"Temperate Grasslands, Savannas & Shrublands",2023-06-24,2023-06-24,89755_dhp
