dhp_label,dlabel,longitude,latitude,tp_int,date,source,unveg,sparse,teow,biome,uid
101342,143478,118.0,-30.4,13.346555,2023-11-12,dhp,0.0,0.03935185,12,"Mediterranean Forests, Woodlands & Scrub",101342_dhp
101342,143478,116.6,-30.8,0.3811655,2023-11-12,d,0.037037037,0.028549382,12,"Mediterranean Forests, Woodlands & Scrub",101342_d
99349,125933,27.0,6.6,27.307215,2023-10-19,dhp,0.0015432099,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",99349_dhp
99349,125933,25.2,9.0,0.00957281,2023-10-19,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",99349_d
99140,125933,34.0,8.8,41.139988,2023-10-16,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",99140_dhp
99140,125933,32.2,10.7,0.11170774,2023-10-16,d,0.0015432099,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",99140_d
96740,125933,17.7,5.5,16.281857,2023-09-16,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",96740_dhp
96740,125933,19.6,7.3,0.71721715,2023-09-16,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",96740_d
96312,125933,26.1,-4.6,17.36639,2023-09-09,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",96312_dhp
96312,125933,26.9,-5.6,0.05165636,2023-09-09,d,0.049382716,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",96312_d
96279,125933,34.0,1.7,31.32184,2023-09-10,dhp,0.25,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",96279_dhp
96279,125933,31.2,1.5,0.46958998,2023-09-10,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",96279_d
96274,125933,34.6,8.0,32.57807,2023-09-11,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",96274_dhp
96274,125933,32.0,9.8,0.09656553,2023-09-11,d,0.06095679,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",96274_d
93324,130125,76.6,49.0,15.949822,2023-08-08,dhp,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",93324_dhp
93324,130125,71.2,49.6,0.026518425,2023-08-08,d,0.0,0.19675925,8,"Temperate Grasslands, Savannas & Shrublands",93324_d
93165,125933,25.9,7.6,22.963203,2023-08-04,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",93165_dhp
93165,125933,27.1,11.5,0.8439556,2023-08-04,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",93165_d
92963,125933,35.7,0.7,12.901942,2023-08-01,dhp,0.0023148148,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",92963_dhp
92963,125933,35.5,2.0,0.104725294,2023-08-01,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",92963_d
92271,125933,29.6,11.1,21.293077,2023-07-25,dhp,0.012345679,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",92271_dhp
92271,125933,32.0,13.5,0.06063731,2023-07-25,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",92271_d
89757,131749,-99.0,43.6,11.928083,2023-06-23,dhp,0.090277776,0.0,8,"Temperate Grasslands, Savannas & Shrublands",89757_dhp
89757,131749,-95.8,41.2,0.51282495,2023-06-23,d,0.10416667,0.0,8,"Temperate Grasslands, Savannas & Shrublands",89757_d
89755,131749,-96.0,47.9,15.991969,2023-06-24,dhp,0.0015432099,0.0,8,"Temperate Grasslands, Savannas & Shrublands",89755_dhp
89755,131749,-97.5,49.6,0.6799455,2023-06-24,d,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",89755_d
86806,129688,-1.0,38.6,13.601983,2023-05-12,dhp,0.0015432099,0.38811728,12,"Mediterranean Forests, Woodlands & Scrub",86806_dhp
86806,129688,-2.8,38.4,0.045940068,2023-05-12,d,0.0,0.0015432099,12,"Mediterranean Forests, Woodlands & Scrub",86806_d
86640,130310,-100.8,40.8,12.919775,2023-05-11,dhp,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",86640_dhp
86640,130310,-96.9,40.7,0.53425884,2023-05-11,d,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",86640_d
86198,130786,17.4,4.2,21.251354,2023-04-29,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",86198_dhp
