filename,vh_nan_timesteps,total_timesteps,vh_nan_pct,vv_nan_pct
DC__2015-0011-MWI__2014-01-01__2016-01-01_20260630_132331_v0100.zarr,34,36,94.4,0.0
DC__2015-0030-MWI__2014-01-02__2016-01-02_20260630_132350_v0100.zarr,63,65,96.9,22.0
DC__2015-0106-CHL__2014-03-25__2016-03-25_20260630_132425_v0100.zarr,50,51,98.0,0.0
DC__2015-0118-IND__2014-04-04__2016-04-04_20260630_132441_v0100.zarr,17,34,50.0,0.0
DC__2015-0158-KEN-P__2014-04-04__2016-04-04_20260701_041500_v0100.zarr,32,38,84.2,0.0
DC__2015-0158-KEN__2014-04-04__2016-04-04_20260630_132525_v0100.zarr,75,85,92.3,29.7
DC__2015-0168-CUB-D__2014-04-30__2016-04-30_20260701_041513_v0100.zarr,25,31,80.6,0.6
DC__2015-0168-CUB__2014-04-30__2016-04-30_20260630_132549_v0100.zarr,33,47,70.2,0.0
DC__2015-0198-SLV-D__2014-05-02__2016-05-02_20260701_041527_v0100.zarr,33,34,97.1,0.0
DC__2015-0198-SLV__2014-05-02__2016-05-02_20260630_132557_v0100.zarr,33,34,97.1,0.0
DC__2015-0252-CHN__2014-06-22__2016-06-22_20260630_132611_v0100.zarr,14,36,38.9,0.0
DC__2015-0258-IRN__2014-07-14__2016-07-14_20260630_132650_v0100.zarr,65,70,92.9,0.0
DC__2015-0288-PAK__2014-06-25__2016-06-25_20260630_132903_v0100.zarr,68,74,91.9,0.0
DC__2015-0375-DOM__2014-08-28__2016-08-28_20260630_132929_v0100.zarr,38,44,86.4,0.0
DC__2015-0375-HTI__2014-08-29__2016-08-29_20260630_132946_v0100.zarr,68,79,89.1,29.6
DC__2015-0479-BHS-D__2014-10-01__2016-10-01_20260701_041942_v0100.zarr,24,31,77.4,0.0
DC__2015-0479-BHS__2014-10-01__2016-10-01_20260630_133801_v0100.zarr,11,16,68.8,0.0
DC__2015-0488-USA__2014-10-29__2016-10-29_20260630_133936_v0100.zarr,3,36,13.9,5.6
DC__2015-0544-SOM-P__2014-03-01__2016-03-01_20260701_042107_v0100.zarr,52,54,96.3,24.3
DC__2015-0544-SOM__2014-03-01__2016-03-01_20260630_134000_v0100.zarr,20,23,91.1,87.3
