DisNo.,longitude,latitude,start_date,wocat_id,dhp_label,country
wocat_966_dhp_41959,4.6132,50.7778,2020-06-05,966,41959,BE
wocat_995_dhp_83259,33.44333,37.60944,2023-02-05,995,83259,TR
wocat_1007_dhp_28028,7.4667,46.8667,2018-10-27,1007,28028,CH
wocat_1015_dhp_55953,30.39583,39.325,2021-05-31,1015,55953,TR
wocat_1018_dhp_75567,7.1354,47.0865,2022-08-18,1018,75567,CH
wocat_1136_dhp_32935,7.2808,46.1633,2019-07-27,1136,32935,CH
wocat_1225_dhp_79923,11.958484,45.30459,2022-11-04,1225,79923,IT
wocat_1248_dhp_76972,6.603388,52.101994,2022-09-08,1248,76972,NL
wocat_1261_dhp_82683,-20.400494,63.833206,2023-01-20,1261,82683,IS
wocat_1286_dhp_90224,17.42939,60.024796,2023-07-02,1286,90224,SE
wocat_1582_dhp_77027,7.078057,53.446674,2022-09-08,1582,77027,DE
wocat_1586_dhp_29780,-1.1115834,39.128345,2019-03-31,1586,29780,ES
wocat_2690_dhp_86806,-1.3866036,38.39914,2023-05-12,2690,86806,ES
wocat_2950_dhp_100770,27.581026,45.39616,2023-11-04,2950,100770,RO
wocat_3164_dhp_75505,-1.1099435,48.07268,2022-08-14,3164,75505,FR
wocat_4126_dhp_75508,18.733055,44.423054,2022-08-13,4126,75508,BA
wocat_5681_dhp_34896,-2.3297822,47.917625,2019-09-23,5681,34896,FR
wocat_5925_dhp_75678,5.0176144,50.036922,2022-08-16,5925,75678,BE
wocat_5933_dhp_68907,15.639173,46.63365,2022-03-31,5933,68907,SI
wocat_6250_dhp_26585,18.727436,52.59696,2018-08-24,6250,26585,PL
wocat_6820_dhp_76886,3.8183,51.43884,2022-09-05,6820,76886,NL
